ax(g),ay(g),az(g),wx(deg/s),wy(deg/s),wz(deg/s),id
0.1221,0.9609,-0.1519,-1.5869,5.4932,-0.7324,0
0.1221,0.9609,-0.1519,-1.5869,5.4932,-0.7324,0
0.1162,0.9614,-0.1558,-0.061,7.8735,-1.5869,0
0.1162,0.9614,-0.1558,-0.061,7.8735,-1.5869,0
0.1162,0.9614,-0.1558,-0.061,7.8735,-1.5869,0
0.1162,0.9614,-0.1558,-0.061,7.8735,-1.5869,0
0.1045,0.9722,-0.1582,1.6479,8.3618,-3.479,0
0.1045,0.9722,-0.1582,1.6479,8.3618,-3.479,0
0.1045,0.9722,-0.1582,1.6479,8.3618,-3.479,0
0.1045,0.9722,-0.1582,1.6479,8.3618,-3.479,0
0.0757,0.9863,-0.1577,1.2817,9.2163,-4.4556,0
0.0757,0.9863,-0.1577,1.2817,9.2163,-4.4556,0
0.0757,0.9863,-0.1577,1.2817,9.2163,-4.4556,0
0.0757,0.9863,-0.1577,1.2817,9.2163,-4.4556,0
0.0737,0.9893,-0.1606,1.4038,6.1035,-2.5635,0
0.0737,0.9893,-0.1606,1.4038,6.1035,-2.5635,0
0.0737,0.9893,-0.1606,1.4038,6.1035,-2.5635,0
0.0737,0.9893,-0.1606,1.4038,6.1035,-2.5635,0
0.0938,0.9824,-0.1543,-0.4883,4.7607,0.061,0
0.0938,0.9824,-0.1543,-0.4883,4.7607,0.061,0
0.0938,0.9824,-0.1543,-0.4883,4.7607,0.061,0
0.0938,0.9824,-0.1543,-0.4883,4.7607,0.061,0
0.1016,0.9771,-0.1333,-0.7324,5.6152,0.1831,0
0.1016,0.9771,-0.1333,-0.7324,5.6152,0.1831,0
0.1016,0.9771,-0.1333,-0.7324,5.6152,0.1831,0
0.1016,0.9771,-0.1333,-0.7324,5.6152,0.1831,0
0.0923,0.9849,-0.1279,-0.061,6.5918,-1.3428,0
0.0923,0.9849,-0.1279,-0.061,6.5918,-1.3428,0
0.0923,0.9849,-0.1279,-0.061,6.5918,-1.3428,0
0.0923,0.9849,-0.1279,-0.061,6.5918,-1.3428,0
0.0684,0.9917,-0.1289,1.5869,5.249,-1.6479,0
0.0684,0.9917,-0.1289,1.5869,5.249,-1.6479,0
0.0684,0.9917,-0.1289,1.5869,5.249,-1.6479,0
0.0684,0.9917,-0.1289,1.5869,5.249,-1.6479,0
0.0635,0.9888,-0.1421,4.1504,1.4648,-0.061,0
0.0635,0.9888,-0.1421,4.1504,1.4648,-0.061,0
0.0635,0.9888,-0.1421,4.1504,1.4648,-0.061,0
0.0635,0.9888,-0.1421,4.1504,1.4648,-0.061,0
0.0771,0.9907,-0.1494,1.8311,-3.3569,1.0376,0
0.0771,0.9907,-0.1494,1.8311,-3.3569,1.0376,0
0.0771,0.9907,-0.1494,1.8311,-3.3569,1.0376,0
0.0771,0.9907,-0.1494,1.8311,-3.3569,1.0376,0
0.0771,0.9907,-0.1494,1.8311,-3.3569,1.0376,0
0.0957,0.9883,-0.1484,-2.1973,-4.2114,0.4272,0
0.0957,0.9883,-0.1484,-2.1973,-4.2114,0.4272,0
0.0957,0.9883,-0.1484,-2.1973,-4.2114,0.4272,0
